N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
315,15,30,34,51,8.219,6.9873,-2558.5773
317,24,150,37,37,8.2271,7.7129,-2582.1133
302,61,102,31,28,8.0728,7.4603,-2583.4241
319,20,26,29,44,8.1693,7.3636,-2578.031
350,0,133,96,17,8.3714,7.8457,-2598.9328
330,0,112,46,37,8.2333,8.1212,-2632.8876
344,4,22,54,18,8.2442,6.7471,-2618.8774
335,23,47,144,0,8.2507,8.1254,-2646.4617
342,5,72,75,34,8.2251,8.1053,-2669.4667
342,0,181,90,19,8.4094,8.1287,-2701.9645
342,0,201,69,25,8.4152,8.0994,-2714.9466
348,0,119,157,0,8.3592,8.2845,-2715.1765
350,21,29,123,8,8.2143,7.4029,-2730.1973
332,20,164,50,29,8.3163,8.0813,-2795.2437
377,0,120,199,0,8.5119,8.3952,-2822.6757
357,0,213,50,33,8.4062,7.9888,-2838.3592
377,0,122,169,0,8.5066,8.2546,-2850.9594
362,0,210,44,41,8.384,7.8315,-2871.8178
336,65,96,48,34,8.0774,8.0298,-2919.2207
348,19,216,41,30,8.3448,8.2787,-2944.5667
357,35,20,55,11,8.1345,7.2073,-2932.7081
357,4,203,83,12,8.4202,8.1681,-2963.9002
356,1,13,33,66,8.2191,7.5899,-2957.5148
353,47,115,9,64,8.0963,7.3173,-2974.1215
336,83,120,8,52,8.0565,7.9405,-3008.884
385,2,28,133,17,8.2831,7.7013,-2998.6026
372,0,221,95,0,8.4892,8.1156,-3034.0891
407,0,49,236,1,8.5061,8.3047,-3022.5266
407,0,232,94,0,8.5479,8.0491,-3035.4936
413,0,49,255,0,8.5133,8.3293,-3040.0824
379,2,20,52,35,8.248,7.153,-3041.486
412,0,49,253,1,8.5097,8.2427,-3041.2399
380,2,20,45,20,8.2447,7.4105,-3039.555
386,0,80,49,1,8.3212,7.7668,-3068.6034
352,47,151,36,26,8.2301,7.6989,-3104.2578
401,0,67,143,3,8.4264,8.0898,-3110.9643
413,0,24,188,28,8.4504,7.7409,-3106.2939
418,0,29,199,26,8.4378,7.9928,-3107.7568
410,0,58,171,5,8.4659,8.0341,-3127.4121
372,0,141,69,5,8.5645,6.0699,-3136.3327
364,67,66,30,32,8.1236,7.5302,-3178.4381
420,0,264,18,61,8.3524,7.8738,-3171.5034
396,0,287,85,0,8.5101,8.404,-3232.0035
367,22,174,68,31,8.376,7.951,-3241.9806
402,0,288,108,0,8.4925,8.4527,-3253.3172
381,64,24,101,15,8.0682,7.6982,-3265.1343
382,11,211,57,20,8.411,8.1073,-3312.2789
362,0,204,68,0,8.5166,7.384,-3373.4272
394,5,60,21,56,8.2056,7.2843,-3373.5114
410,0,118,77,8,8.3561,8.0268,-3404.5816
424,0,52,76,10,8.3868,7.5896,-3421.5726
397,8,224,76,18,8.4156,8.1461,-3466.3321
397,19,215,38,34,8.3678,8.0327,-3493.8372
404,16,56,115,45,8.2748,8.1931,-3501.7864
391,1,208,47,0,8.578,6.7366,-3504.1254
382,53,156,40,41,8.2565,7.8639,-3535.6931
510,0,269,77,0,8.5529,7.4353,-3510.6518
384,124,48,34,27,7.9245,7.8411,-3534.6996
402,29,211,36,43,8.2985,7.9826,-3547.1225
417,0,252,100,5,8.4964,8.259,-3576.7842
392,108,49,43,21,8.0026,7.5459,-3564.572
431,2,14,89,25,8.2506,7.6404,-3570.5262
430,5,24,94,16,8.2884,7.8349,-3579.2871
439,0,9,101,25,8.287,7.3645,-3591.5185
387,68,151,33,35,8.2093,7.801,-3624.4619
386,127,47,27,30,7.9819,7.1036,-3619.2746
432,0,168,196,0,8.456,8.3588,-3655.6412
428,22,80,210,0,8.3762,8.2453,-3676.4932
402,38,183,62,44,8.3358,8.0871,-3692.5484
433,2,104,136,41,8.388,8.2079,-3696.5801
432,0,273,67,27,8.4583,8.1759,-3719.9347
416,129,9,40,15,7.9038,7.3822,-3728.5976
439,1,86,52,37,8.3235,7.8497,-3752.5965
462,0,168,244,0,8.5909,8.3831,-3763.3361
419,23,82,12,92,8.1695,7.7876,-3806.7305
420,3,152,49,9,8.5238,6.6476,-3817.2019
430,3,78,45,78,8.2581,7.5,-3827.6068
447,0,285,50,38,8.4609,8.1655,-3845.6131
463,0,174,177,0,8.5335,8.1037,-3850.4839
453,20,40,185,6,8.3863,7.6932,-3839.5796
452,0,281,49,44,8.4491,8.0597,-3879.4594
422,27,223,59,27,8.4171,8.064,-3908.1448
432,22,288,49,28,8.3981,8.3449,-3929.867
428,5,178,55,9,8.472,6.5514,-3924.1799
428,31,110,26,11,8.2477,7.7921,-3943.6866
437,10,242,75,20,8.492,8.1579,-3970.7018
433,9,149,39,6,8.5266,5.9885,-3958.8521
452,12,156,67,8,8.4867,6.458,-4001.866
417,74,161,35,45,8.2494,7.9712,-4046.9271
