N_bulk,Avg_bulk,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,FCC,HCP,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14
1019,11.945,68,256,408,214,61,6,0,0,0,0.5476,672,220,76,27,17,6,0,1,0,0,0,0,0,0,0
1042,11.8781,85,264,397,227,54,3,0,0,0,0.4376,714,236,64,21,6,1,0,0,0,0,0,0,0,0,0
1049,12.1907,3,90,678,260,18,0,165,59,2,9.8684,23,27,14,15,15,24,27,48,57,63,100,159,401,74,2
1039,11.9423,61,268,407,241,49,5,0,0,0,0.5784,650,266,76,25,9,7,5,1,0,0,0,0,0,0,0
1033,11.848,78,277,407,207,48,4,0,0,0,0.5402,654,261,82,20,10,4,1,1,0,0,0,0,0,0,0
1039,11.8739,93,240,405,242,46,0,0,0,1,0.5553,671,249,61,35,16,5,2,0,0,0,0,0,0,0,0
1034,12.1576,10,116,629,254,24,0,124,31,0,9.2834,43,27,31,23,22,24,34,48,51,73,91,162,330,74,1
1032,12.2345,7,84,635,272,34,0,156,47,0,9.438,33,23,29,18,16,29,30,60,55,80,92,157,343,65,2
1056,11.8712,82,284,390,242,43,5,0,0,0,0.4915,706,245,63,28,9,3,1,1,0,0,0,0,0,0,0
1034,12.1915,6,94,650,256,24,2,145,51,6,9.8714,24,18,20,11,13,18,35,40,68,76,102,170,345,90,4
1067,12.1518,10,105,687,240,23,0,162,61,4,9.2502,42,23,26,28,27,27,38,46,70,77,103,147,352,60,1
1049,12.2402,6,100,616,292,33,2,119,29,1,8.8818,40,34,23,34,29,44,42,53,79,71,110,141,284,64,1
1057,11.8988,83,257,431,236,40,5,0,0,0,0.5147,679,263,84,17,9,4,1,0,0,0,0,0,0,0,0
1080,12.187,4,87,701,269,17,0,150,65,3,9.2602,44,27,15,32,33,32,48,39,64,68,90,144,385,59,0
1090,12.1826,26,128,584,302,43,2,93,4,0,7.9624,109,77,39,38,40,25,33,49,62,54,65,121,295,81,2
1068,12.1966,6,82,698,260,22,0,225,2,0,10.9457,16,3,5,8,7,13,14,18,25,56,71,162,561,104,5
1074,11.8464,92,284,412,229,43,5,0,0,0,0.419,725,273,58,12,5,1,0,0,0,0,0,0,0,0,0
1084,11.9539,68,254,433,249,62,4,0,0,0,0.5766,705,247,72,28,17,10,4,0,1,0,0,0,0,0,0
1078,11.8952,79,285,414,230,56,5,0,1,0,0.4675,729,248,71,14,11,2,3,0,0,0,0,0,0,0,0
1095,12.1525,20,158,587,292,35,2,78,40,3,7.316,100,80,56,41,46,47,52,65,70,77,106,114,193,45,3
1099,11.9145,65,295,420,252,50,5,0,0,0,0.5833,707,244,97,22,16,8,2,3,0,0,0,0,0,0,0
1101,12.1844,5,113,685,270,28,0,160,52,2,9.1035,51,30,26,25,24,36,33,45,88,72,113,168,327,59,4
1108,12.1931,9,125,648,297,27,2,163,8,0,9.2924,55,36,21,29,27,27,42,50,42,57,90,154,372,105,1
1094,12.2038,8,116,653,282,32,3,116,26,1,8.8803,53,36,29,28,28,39,45,50,66,79,115,158,303,63,2
1119,12.2002,4,73,758,263,21,0,188,55,3,10.2654,10,13,14,15,10,18,27,46,69,70,100,193,464,66,4
1123,12.1932,4,77,759,259,23,0,182,53,1,10.0499,17,17,13,11,15,35,32,39,62,75,111,194,434,65,3
1119,12.2109,6,79,727,279,24,2,162,57,2,10.1555,18,9,14,15,16,14,40,45,68,74,91,203,420,88,4
1838,12.2307,4,106,1228,463,36,1,328,96,4,10.6257,26,18,21,11,19,20,23,52,71,108,166,282,826,185,10
1119,12.2252,6,68,741,276,28,0,242,1,0,11.2547,10,6,4,11,2,10,9,21,19,33,62,143,621,158,10
1125,11.9253,75,276,467,233,64,2,0,0,0,0.5751,706,272,93,35,15,2,0,2,0,0,0,0,0,0,0
1120,12.2286,4,91,700,298,24,3,144,52,1,9.7723,28,12,20,16,32,24,35,43,63,92,108,184,373,86,4
1147,12.1979,9,88,739,280,28,1,222,9,0,10.4438,25,19,9,11,16,22,22,38,41,53,71,153,536,127,4
1146,12.1728,7,97,762,251,29,0,167,67,0,9.8333,28,17,17,21,24,29,42,43,55,82,101,160,441,83,3
1116,12.2133,3,94,706,289,23,1,162,47,2,9.8253,21,12,23,21,27,15,33,58,65,69,129,184,368,88,3
1160,12.1983,11,101,711,321,16,0,177,56,5,9.6336,31,25,15,15,28,31,33,56,81,89,111,164,400,79,2
1161,12.1817,5,84,788,263,21,0,178,63,4,10.137,16,20,17,11,21,18,26,44,58,82,110,197,459,81,1
1157,11.911,83,304,445,258,56,5,0,0,0,0.4806,773,272,77,20,8,5,1,1,0,0,0,0,0,0,0
1160,11.8353,96,335,419,235,53,8,0,0,0,0.5931,734,271,94,35,15,5,3,3,0,0,0,0,0,0,0
1180,11.8941,82,294,491,236,62,3,0,0,0,0.4602,791,275,84,20,10,0,0,0,0,0,0,0,0,0,0
1180,12.2381,16,166,577,367,50,4,116,5,0,8.0144,91,80,47,35,43,43,63,65,55,68,77,121,294,95,3
1198,12.1653,7,117,772,275,27,0,183,39,0,9.7062,37,29,27,19,24,37,28,34,63,74,105,170,459,85,7
1179,12.1976,5,81,795,274,22,2,219,64,2,10.1891,19,9,17,15,10,34,36,44,63,61,109,188,488,81,4
1186,12.1965,4,101,756,303,21,0,221,7,0,10.5051,15,15,17,18,17,15,29,30,45,49,97,142,569,124,4
1183,12.2342,7,102,720,317,35,2,147,48,0,9.4827,25,18,25,29,24,39,34,58,98,89,113,195,368,66,2
1186,12.2251,5,75,776,308,22,0,229,6,0,11.2428,5,9,6,6,7,17,10,12,23,39,64,172,640,173,3
1208,12.1863,10,98,786,286,27,1,186,51,5,9.5041,27,23,34,27,25,29,38,57,78,96,100,206,403,63,2
1193,11.9086,86,295,472,266,53,7,0,0,1,0.5314,768,290,87,32,9,4,3,0,0,0,0,0,0,0,0
1202,11.9068,85,308,463,274,52,8,0,0,0,0.5849,754,296,103,20,12,11,5,0,1,0,0,0,0,0,0
1207,12.174,13,113,765,283,33,0,157,53,2,9.2254,44,33,25,29,35,47,41,39,78,84,120,179,372,76,5
1189,11.9201,75,320,449,281,50,6,0,0,0,0.5526,752,287,100,35,11,3,1,0,0,0,0,0,0,0,0
1210,12.1843,9,102,779,298,21,1,190,13,0,9.8843,37,27,22,18,23,30,25,44,52,74,93,172,480,111,2
1198,12.202,2,62,845,270,19,0,183,59,1,10.2078,14,12,12,17,20,22,37,45,65,74,100,208,499,69,4
1220,12.2049,9,108,767,297,38,1,226,10,0,9.8492,32,27,17,24,39,32,33,38,41,82,89,157,501,104,4
1235,12.1077,23,139,772,270,26,2,181,14,0,8.8729,73,48,40,38,29,40,38,53,57,69,92,170,410,78,0
1245,11.845,101,337,487,244,60,5,0,0,0,0.543,777,320,108,27,9,1,3,0,0,0,0,0,0,0,0
1250,12.22,11,135,724,330,48,2,167,9,0,9.1936,54,35,32,37,31,41,50,50,75,77,96,132,426,110,4
1245,12.2193,4,69,842,312,16,2,233,67,3,10.4602,13,11,12,13,13,14,27,47,56,82,117,209,525,103,3
1255,11.8343,94,345,491,245,61,3,0,0,0,0.5586,792,309,102,31,12,7,2,0,0,0,0,0,0,0,0
1272,12.1808,6,101,850,287,28,0,260,4,0,10.592,18,12,15,13,19,17,30,36,40,58,91,163,631,124,5
1260,11.9063,76,354,479,275,60,7,0,1,0,0.5508,789,323,99,28,16,5,0,0,0,0,0,0,0,0,0
1267,12.191,12,126,774,314,39,1,189,11,0,9.3015,57,37,32,32,33,33,43,42,66,81,98,156,460,92,5
1250,11.936,82,335,441,309,66,5,0,0,0,0.5776,770,329,97,34,10,6,3,0,0,1,0,0,0,0,0
1252,11.8994,90,309,514,258,60,7,0,0,0,0.4888,825,292,96,31,6,1,1,0,0,0,0,0,0,0,0
1275,12.2016,9,96,831,309,28,2,171,77,4,9.8235,26,23,25,31,23,27,35,53,71,81,101,215,455,107,2
1257,12.1806,6,106,819,307,19,0,159,61,0,9.9889,21,19,17,18,20,30,38,50,68,73,132,230,444,96,1
1282,12.2129,10,91,825,324,30,1,185,72,5,10.0008,14,11,14,31,21,26,43,52,89,86,141,184,478,91,1
1300,12.21,5,97,840,331,26,0,194,66,2,9.9477,22,23,17,20,26,30,39,53,81,84,88,237,477,101,2
1273,11.9442,82,316,519,279,64,7,1,0,0,0.553,849,258,98,40,18,6,2,1,0,1,0,0,0,0,0
1266,11.8641,106,327,484,278,57,3,0,0,1,0.5355,823,299,93,33,9,5,0,2,0,1,1,0,0,0,0
1276,11.8676,97,326,508,281,49,3,0,0,0,0.6661,787,301,106,42,19,8,7,1,2,1,1,1,0,0,0
1290,12.1884,18,135,754,349,31,2,195,19,0,9.0605,62,44,38,28,34,48,48,60,64,77,113,139,425,104,6
1286,12.21,9,103,802,349,21,1,211,17,0,10.0871,26,27,23,20,27,22,38,45,57,65,89,160,549,133,5
1282,11.922,86,294,531,300,45,9,1,0,0,0.6529,775,322,111,48,9,6,1,6,3,0,0,1,0,0,0
1292,12.1974,9,84,878,289,29,2,224,72,2,10.1718,21,24,15,13,18,23,36,47,71,75,112,186,556,94,1
1296,12.1921,9,88,870,305,22,2,219,68,6,10.0656,34,12,16,13,29,20,30,51,80,70,121,219,499,96,6
1294,11.9219,84,314,534,294,51,6,0,1,0,0.5355,813,326,116,25,11,2,1,0,0,0,0,0,0,0,0
1303,11.8557,99,349,524,254,60,6,0,1,0,0.6309,795,327,115,31,18,8,4,4,1,0,0,0,0,0,0
1309,11.8824,94,347,506,271,72,4,0,0,0,0.5256,835,340,83,34,11,3,1,1,1,0,0,0,0,0,0
1320,12.153,16,127,846,301,30,0,174,63,6,9.6136,33,24,28,24,22,41,44,48,86,104,141,194,430,97,4
1316,11.8328,98,356,524,264,52,5,0,0,0,0.576,834,317,102,32,18,10,2,1,0,0,0,0,0,0,0
1334,12.2414,12,120,774,392,34,2,177,15,0,9.3606,50,44,33,32,31,46,40,45,62,78,110,194,458,110,1
1323,12.2305,7,78,865,345,26,1,201,74,2,10.1754,14,22,22,19,22,26,38,33,82,77,108,205,541,110,4
1351,12.1917,8,93,909,315,25,1,204,72,4,10.2709,19,17,12,14,18,31,36,39,67,93,110,256,521,116,2
1368,12.2273,7,98,870,363,30,0,187,68,1,9.788,24,26,19,16,32,34,56,43,96,114,122,202,487,95,2
1353,11.9017,111,346,512,291,75,8,0,0,1,0.6755,795,354,118,44,26,11,3,1,1,0,0,0,0,0,0
1375,12.104,37,198,749,341,40,4,57,62,13,5.7251,245,137,80,74,62,72,55,75,122,93,86,100,146,27,1
1367,12.1917,13,135,825,356,35,1,195,33,0,9.3131,55,39,34,29,36,46,59,40,68,96,100,179,472,108,6
1359,12.1737,3,100,933,299,23,0,338,0,0,11.1876,10,12,7,11,7,8,13,22,30,44,67,171,787,166,4
1389,12.1692,12,109,928,312,28,0,279,24,0,10.2585,27,22,18,27,30,21,25,38,57,71,108,180,633,130,2
1351,12.2842,4,81,828,406,29,3,183,64,1,10.356,13,13,7,17,26,29,30,50,62,89,133,238,486,155,3
1380,12.2007,9,81,942,320,28,0,239,88,3,10.263,26,19,16,12,20,24,36,52,72,65,112,212,603,107,4
1379,12.1849,4,95,943,317,19,1,314,0,0,11.3858,8,4,7,6,9,7,11,11,26,40,72,173,809,192,4
1366,12.1933,8,87,926,323,22,0,268,59,0,10.2643,17,16,17,13,24,23,38,54,67,78,114,216,597,91,1
1378,12.1981,17,99,880,355,24,2,190,58,4,9.7736,33,24,20,29,18,33,41,72,76,91,131,222,495,91,2
1388,12.1787,6,89,965,302,25,0,276,76,5,10.4128,16,10,14,16,21,28,22,57,70,70,111,230,622,96,5
1419,12.1903,13,135,874,354,40,1,232,5,0,10.0078,21,22,34,25,36,37,48,42,55,87,107,174,589,138,4
1432,12.1934,8,127,908,359,29,1,281,8,0,10.4895,25,12,19,21,23,24,27,36,60,63,111,184,657,163,7
1441,12.2103,9,117,912,369,33,1,214,67,3,9.5725,34,19,36,26,24,52,51,66,101,97,151,200,485,96,3
1433,11.9079,101,375,549,322,69,6,0,0,0,0.5401,919,348,107,40,11,5,2,0,0,0,0,1,0,0,0
1454,12.2022,9,88,984,348,23,2,338,9,0,10.9422,17,14,11,12,10,16,14,32,42,64,86,179,779,171,7
1419,12.1938,7,91,968,323,27,2,326,0,0,11.1276,22,15,12,10,9,11,14,19,19,29,68,160,848,178,5
1461,12.1862,8,117,955,358,22,1,289,20,0,10.2204,25,26,23,24,29,27,33,34,71,77,109,184,662,136,1
1458,12.2579,12,136,817,447,43,2,143,31,0,8.8553,61,47,43,30,45,67,66,72,94,106,131,201,393,98,4
1459,12.2125,12,112,929,366,40,0,237,39,0,10.1748,29,29,18,18,22,23,38,69,60,85,109,181,632,142,4
1409,12.2179,6,106,902,365,30,0,205,68,3,10.0965,18,12,21,13,31,31,47,42,88,104,124,240,537,100,1
1453,11.8747,131,369,543,318,72,8,0,1,0,0.5898,919,349,108,40,22,7,7,1,0,0,0,0,0,0,0
1463,12.19,20,142,877,388,36,0,226,11,0,9.4703,62,46,32,31,36,36,38,59,75,88,110,147,564,136,3
1464,12.1988,8,104,965,358,28,0,239,61,3,10.347,14,9,14,26,26,32,35,36,69,116,113,237,614,116,7
1464,12.1667,12,150,914,354,32,1,242,8,0,9.6373,51,36,30,30,36,38,47,45,69,73,113,206,585,103,2
1465,12.2102,10,122,922,372,39,0,191,59,4,9.5618,46,33,21,29,27,32,51,56,108,101,138,248,477,97,1
1468,12.2153,7,102,958,373,26,1,213,52,2,10.2275,17,18,19,13,19,24,33,60,87,98,150,259,548,120,3
1437,12.1949,7,84,994,328,22,2,308,25,0,10.389,27,23,17,34,17,19,31,33,53,73,88,174,711,135,2
1487,12.226,17,144,856,427,42,1,207,24,0,9.8527,36,22,26,21,33,46,56,56,70,103,126,199,529,156,8
1484,12.1853,6,119,978,342,35,1,303,22,0,10.2102,35,27,21,23,17,30,31,38,61,84,120,195,677,119,6
1448,12.1989,6,105,966,340,29,1,235,66,2,9.9696,32,24,20,24,25,21,32,62,84,98,132,248,534,109,3
1480,12.1872,7,91,1033,317,31,1,276,77,4,10.1331,17,20,24,15,24,38,40,44,91,83,141,229,638,74,2
1488,11.8824,110,372,604,324,63,2,1,0,0,0.6075,903,397,123,31,20,4,4,5,0,1,0,0,0,0,0
1487,12.2085,9,96,984,368,28,1,235,84,3,10.2085,27,25,21,25,18,16,33,44,73,87,141,244,611,121,1
1485,12.2027,13,119,935,391,26,1,296,2,0,11.1832,15,10,9,11,7,9,20,21,22,64,88,183,785,233,8
1487,12.1917,11,130,941,374,30,1,337,2,0,11.1022,18,12,10,3,13,8,23,22,33,55,91,195,790,206,8
1529,12.2093,8,131,956,397,35,1,224,55,1,9.7763,49,29,28,17,28,33,46,55,82,104,144,263,516,133,2
1547,12.1564,10,126,1057,320,34,0,233,85,5,10.1881,28,16,19,19,21,30,41,64,64,95,148,265,626,106,5
1532,12.1945,7,114,1008,381,21,1,307,31,0,10.6253,12,13,18,18,28,17,24,50,63,81,98,212,736,161,1
1537,12.2173,3,88,1050,364,32,0,276,74,3,10.2485,14,21,17,15,29,21,48,56,84,98,144,236,645,105,4
1549,11.8903,112,380,636,332,68,5,0,0,0,0.5746,969,385,120,51,16,2,5,0,1,0,0,0,0,0,0
1568,12.1754,7,124,1044,373,20,0,343,15,0,10.8119,11,15,11,20,17,18,31,50,43,64,91,206,820,168,3
1573,12.2072,16,137,970,400,49,0,257,21,0,9.6414,61,33,38,18,47,30,54,65,80,85,120,183,606,146,7
1588,12.1411,17,138,1054,357,21,0,331,34,0,10.2128,30,20,27,28,27,41,40,51,56,87,97,215,716,150,3
1586,12.1614,7,138,1057,360,24,0,344,14,0,10.6822,33,11,17,14,12,23,30,37,59,80,101,172,805,189,3
1569,12.1867,4,119,1056,360,30,0,251,70,1,10.4442,16,12,10,16,22,24,32,57,86,80,159,288,634,128,5
1571,12.2037,1,108,1066,362,34,0,280,76,0,10.1324,17,20,21,30,23,36,43,50,92,99,155,236,626,121,2
1596,12.1723,14,169,979,396,38,0,274,6,0,9.2807,69,58,59,42,23,44,63,71,63,77,96,165,614,145,7
1580,11.8734,120,425,598,348,71,5,0,0,0,0.5873,983,385,141,42,14,11,4,0,0,0,0,0,0,0,0
1590,12.1679,16,195,924,410,39,4,192,25,0,8.7409,80,63,52,52,52,58,64,77,76,95,135,215,449,120,2
1596,12.1861,10,134,1018,412,21,0,232,81,4,10.089,22,26,28,21,38,20,42,57,107,91,129,256,598,157,4
1598,12.1583,8,164,1020,379,27,0,227,27,0,9.6395,51,38,33,41,34,36,49,64,77,92,116,210,640,113,4
1608,12.1797,10,118,1083,369,26,2,251,83,6,10.0305,49,28,20,23,24,25,41,54,84,90,129,241,678,120,2
1618,12.1848,20,164,973,419,42,0,251,9,0,9.8257,44,33,33,25,28,59,41,54,79,90,137,223,612,156,4
1616,12.2098,7,103,1078,396,30,1,280,86,2,10.4449,12,18,21,18,28,23,34,57,82,81,120,262,715,142,3
1647,12.037,58,257,921,366,37,3,107,63,7,5.4098,379,193,109,64,63,47,66,71,97,87,86,135,227,23,0
1635,12.1633,17,157,1042,384,31,4,279,18,0,9.882,40,44,23,33,29,39,53,40,69,93,146,237,658,127,4
1623,12.2169,6,125,1030,435,27,0,361,4,0,10.9661,13,11,10,12,21,21,32,34,31,60,112,208,841,214,3
1640,12.1707,22,205,929,430,51,1,176,12,0,8.6335,99,67,68,49,58,56,62,83,81,92,99,178,510,132,6
1615,12.1907,12,119,1057,388,36,0,266,77,3,9.9777,34,27,29,21,19,37,43,63,90,101,152,273,590,130,6
1658,12.1755,16,152,1043,409,36,0,270,20,0,9.9035,44,30,30,32,35,47,39,55,78,99,122,223,664,156,4
1654,12.3259,22,161,807,576,84,2,139,12,0,8.9921,75,74,53,45,48,52,55,80,72,117,123,188,466,187,19
1632,12.2108,2,116,1082,402,28,2,242,70,5,10.3854,22,10,19,25,15,33,32,59,74,94,150,273,684,141,1
1658,12.1357,11,164,1107,342,33,1,303,31,0,9.509,67,51,41,32,38,31,50,59,76,105,126,200,666,112,4
1667,12.1698,18,151,1057,403,35,1,286,14,0,10.1158,42,29,27,25,30,33,34,56,57,97,137,245,690,160,5
1666,12.1963,10,147,1048,429,31,1,296,16,0,9.9508,40,31,25,37,36,46,52,59,67,86,106,221,700,154,6
1646,12.192,5,118,1109,384,30,0,288,90,2,10.4982,10,10,19,14,23,22,47,56,81,89,159,267,705,138,6
1657,11.8455,133,422,677,337,66,5,0,0,0,0.5359,1057,408,121,52,15,2,2,0,0,0,0,0,0,0,0
1678,12.1663,12,107,1170,368,21,0,305,83,6,10.0131,42,24,30,27,24,24,41,57,98,102,134,269,704,101,1
1681,12.1457,17,151,1108,375,29,0,369,13,0,10.3409,30,21,27,24,24,32,31,53,52,90,146,218,792,139,2
1686,12.1572,19,167,1059,409,29,2,292,13,0,10.1364,27,33,24,34,39,29,56,59,65,74,126,201,751,164,4
1692,12.2187,10,113,1097,437,33,1,326,17,0,10.5467,30,24,16,24,22,21,33,41,53,83,123,211,830,177,4
1691,12.1721,8,132,1139,375,35,0,296,72,1,10.1473,32,28,26,13,26,41,45,70,70,100,125,260,717,135,3
1707,12.1172,10,164,1186,312,33,2,364,24,0,10.0105,56,34,25,34,34,36,39,50,60,90,106,218,777,142,6
1727,12.1795,15,127,1150,403,32,0,307,43,0,10.2386,33,22,20,23,32,40,50,48,73,101,119,236,789,134,7
1762,12.1617,13,136,1190,399,24,0,334,53,0,10.4103,24,19,19,19,31,29,56,52,60,94,139,247,825,145,3
1791,12.2239,8,96,1209,439,37,1,377,1,0,11.5455,12,8,7,9,3,8,8,15,19,36,77,197,1102,273,17
1862,12.1805,13,116,1278,427,27,0,424,0,0,11.0322,27,14,15,12,18,16,21,36,43,60,87,211,1074,223,5
1528,12.1741,14,104,1034,350,24,1,315,16,0,10.7932,19,10,15,14,22,18,21,34,49,70,94,205,792,163,2
1981,12.157,10,174,1332,425,40,0,420,31,0,10.2241,45,28,31,32,27,37,52,68,81,105,131,222,948,170,4
1996,12.3116,24,195,1011,663,101,1,159,9,0,9.1718,92,65,62,43,61,67,62,88,105,122,159,243,551,255,21
1999,12.1691,17,148,1351,448,33,2,334,69,0,10.1401,51,40,29,27,39,32,53,54,79,99,147,271,912,163,3
2092,12.1678,7,162,1417,476,27,1,491,8,0,10.8485,36,18,17,26,22,17,46,37,44,82,93,256,1157,237,4
2149,12.1624,10,136,1527,448,27,1,526,16,0,10.7855,23,19,23,22,25,27,38,54,58,93,130,250,1181,201,5
2138,12.1403,20,200,1414,463,40,0,457,26,0,10.1754,47,48,21,32,45,42,53,66,92,92,161,254,981,197,7
2235,12.1454,42,276,1286,559,66,2,187,106,12,6.8497,331,166,91,90,101,74,79,120,166,138,176,240,390,69,4
2205,12.185,10,121,1567,466,40,1,618,0,0,11.5837,7,6,5,7,13,8,15,21,28,39,80,236,1430,295,15
2283,12.1332,16,204,1547,483,30,1,436,58,0,10.1021,61,29,35,38,37,43,54,80,82,140,187,322,1004,167,4
2281,12.1942,7,138,1575,522,38,0,617,1,0,11.4371,13,7,8,14,12,11,22,29,36,43,92,280,1386,314,14
2331,12.1707,11,174,1587,514,43,0,506,74,0,10.1141,46,37,32,42,37,57,48,85,121,136,159,297,1060,172,2
2350,12.386,33,240,1038,855,176,5,146,8,0,8.9217,154,86,72,79,77,73,90,86,95,138,171,275,524,361,69
2413,12.145,16,198,1659,503,35,1,539,41,0,10.4923,40,31,30,35,31,47,51,65,76,103,164,305,1190,238,7
2440,12.1516,28,211,1600,566,34,1,390,131,0,9.9934,62,66,24,43,50,46,69,83,100,124,173,341,1050,207,2
2585,12.1698,26,222,1664,619,50,1,479,27,0,9.9718,65,54,41,59,57,44,79,94,103,127,173,320,1134,231,4
2613,12.1868,15,188,1760,595,54,1,529,27,0,10.6628,42,26,30,30,28,44,39,72,66,107,193,345,1293,288,10
2545,12.1611,11,185,1781,523,41,4,520,45,0,10.6008,37,34,39,19,36,43,57,47,73,101,182,318,1306,245,8
2635,12.1526,10,208,1819,557,38,1,539,31,0,10.3503,44,36,43,35,44,52,60,78,95,138,173,325,1265,241,6
2633,12.1671,14,210,1765,607,34,2,562,20,0,10.6548,40,30,26,31,31,42,48,60,84,132,152,333,1325,292,7
2681,12.1376,16,239,1807,585,29,2,567,38,0,10.4696,53,33,39,38,29,54,57,68,84,117,184,312,1334,271,8
2694,12.1314,15,224,1870,557,27,0,640,20,0,11.0516,28,20,21,21,18,27,31,31,68,91,166,357,1513,296,6
2690,12.1781,11,162,1898,576,42,1,638,0,0,11.5428,22,10,7,10,5,6,20,25,31,49,109,287,1719,373,17
2745,12.184,7,165,1924,615,33,1,766,3,0,11.6262,10,4,8,9,12,9,16,19,30,54,92,312,1754,405,11
2871,12.1282,23,267,1940,596,44,0,576,36,0,10.2264,78,44,44,38,53,46,71,70,101,146,205,374,1345,254,2
2913,12.1559,17,225,1991,644,33,2,586,62,0,10.4631,51,26,34,43,40,60,57,87,101,151,188,387,1407,277,4
3026,12.1362,28,238,2101,610,45,3,604,81,0,10.4144,59,34,43,47,39,45,56,80,98,150,253,408,1463,246,5
3069,12.1838,8,181,2166,670,41,3,795,2,0,11.5308,17,10,12,5,14,13,27,25,43,60,114,338,1957,421,13
3126,12.1484,19,270,2117,665,52,2,733,62,0,10.6049,54,35,33,43,43,36,62,77,87,146,198,395,1605,305,7
3191,12.1639,19,247,2183,673,66,2,571,89,0,10.3667,43,42,38,30,45,67,83,114,128,188,237,426,1465,281,4
3205,12.1454,17,261,2210,673,44,0,636,35,0,10.5853,46,46,29,36,41,44,64,80,128,126,221,431,1603,299,11
3190,12.1787,16,191,2239,695,49,0,683,124,0,10.8749,26,20,18,26,34,47,50,77,94,134,227,435,1698,298,6
3235,12.2028,9,156,2281,748,41,0,872,2,0,11.5951,22,9,8,8,6,17,25,26,43,53,104,337,2060,506,11
3299,12.1516,13,264,2279,689,49,3,737,32,0,10.7872,51,25,19,40,32,53,47,67,119,127,202,405,1777,324,11
3310,12.1529,10,236,2337,689,35,2,785,19,0,11.1937,21,19,16,20,21,30,42,53,84,100,180,411,1892,408,13
3300,12.1445,23,267,2279,666,59,4,722,61,0,10.2873,80,44,30,48,55,73,75,95,103,190,247,420,1553,278,9
3292,12.1859,12,182,2330,719,48,1,911,2,0,11.6765,17,10,7,9,9,9,16,27,22,59,86,324,2187,493,17
3398,12.1501,27,267,2323,714,60,3,824,37,0,10.8028,54,41,30,17,26,41,70,76,91,117,228,413,1842,341,11
3403,12.1202,51,399,2100,768,77,2,370,150,7,7.7828,376,205,118,130,107,112,123,138,223,197,233,375,910,154,2
3428,12.1526,18,238,2434,680,57,1,824,47,0,10.7415,43,30,34,34,38,51,69,86,104,136,202,428,1844,319,10
3681,12.1654,19,249,2568,795,49,1,968,46,0,10.768,36,35,29,39,49,62,61,85,121,150,243,403,2012,349,7
3687,12.1646,7,204,2703,721,52,0,1060,1,0,11.6607,11,5,11,8,15,10,21,28,36,70,119,378,2454,498,23
3782,12.1343,30,278,2666,765,42,0,977,53,0,10.7398,63,33,38,35,44,54,78,80,105,142,208,457,2087,351,7
3817,12.1305,30,294,2701,736,52,4,870,55,0,10.6712,66,43,33,31,42,64,66,90,121,165,240,478,2015,357,6
3855,12.1414,26,273,2731,775,49,0,878,23,0,10.9676,52,31,28,35,32,30,53,68,105,125,230,473,2170,414,9
3852,12.1791,10,191,2792,817,42,0,1067,1,0,11.7048,14,16,8,13,7,12,15,26,27,55,93,388,2585,575,18
3963,12.1527,31,311,2712,837,69,2,895,35,0,10.6947,62,40,45,36,50,55,75,83,116,176,236,519,2064,394,12
3909,12.1722,13,239,2767,842,48,0,1030,1,0,11.5764,16,9,8,19,13,15,23,45,42,77,134,450,2500,541,17
4013,12.1533,19,301,2786,855,51,0,898,46,0,10.833,50,33,47,39,39,51,71,81,108,159,230,493,2157,447,8
4015,12.132,20,294,2883,774,43,0,1012,20,0,11.1103,27,24,39,29,27,34,53,68,98,131,202,469,2384,423,7
3921,12.164,22,246,2773,823,55,1,937,102,0,10.6713,65,47,38,39,47,55,68,72,136,154,258,506,2069,359,8
4118,12.1212,27,354,2873,809,49,3,985,32,0,10.5673,79,54,48,53,50,64,85,78,132,188,225,495,2189,372,6
4283,12.1441,25,316,3010,872,57,1,1076,46,0,10.8851,42,45,31,41,44,52,84,88,121,167,212,508,2381,454,13
4378,12.3522,37,382,2211,1499,248,1,422,34,0,10.4694,100,66,55,66,57,90,114,111,176,206,284,522,1554,848,129
4369,12.1769,13,242,3120,938,53,1,1269,0,0,11.5482,23,27,9,18,18,19,26,50,41,81,150,427,2827,638,15
4594,12.1247,42,381,3205,896,68,2,977,127,0,10.2601,126,59,69,69,68,101,104,128,158,200,286,573,2287,361,5
4619,12.1489,22,350,3214,968,62,0,1046,48,0,11.0015,42,35,41,33,49,62,54,99,108,149,240,572,2588,534,13
4529,12.1928,21,246,3157,1039,64,0,1223,3,0,11.7121,20,10,9,6,18,12,22,29,46,64,125,466,2941,735,26
4587,12.1698,15,250,3324,937,61,0,1270,0,0,11.6399,14,15,13,16,14,18,29,31,45,66,136,488,3066,612,24
4696,12.1256,30,342,3361,911,45,2,1087,26,0,11.029,45,38,36,31,44,49,57,80,115,178,249,540,2737,488,9
4816,12.1489,26,327,3418,989,55,0,1195,65,0,10.9898,52,26,37,34,44,62,64,92,130,185,276,557,2733,513,11
4800,12.124,28,344,3485,891,52,0,1250,52,0,10.9454,45,41,37,38,38,58,84,96,123,165,272,585,2774,437,7
